timecode,character
1.3266666667,ANAKIN
1.3333333333,ANAKIN
1.3533333333,ANAKIN
1.36,ANAKIN
1.3933333333,ANAKIN
1.4733333333,ANAKIN
1.48,ANAKIN
1.4866666667,ANAKIN
1.52,ANAKIN
1.5666666667,ANAKIN
1.5733333333,ANAKIN
1.58,ANAKIN
1.5933333333,ANAKIN
1.6,ANAKIN
1.6266666667,ANAKIN
1.6333333333,ANAKIN
1.64,ANAKIN
1.6933333333,ANAKIN
1.7,ANAKIN
1.7066666667,ANAKIN
1.72,ANAKIN
1.76,ANAKIN
1.7666666667,ANAKIN
1.7733333333,ANAKIN
1.82,ANAKIN
1.8266666667,ANAKIN
1.8333333333,ANAKIN
1.84,ANAKIN
1.8466666667,ANAKIN
1.8533333333,ANAKIN
1.86,ANAKIN
1.8733333333,ANAKIN
1.8866666667,ANAKIN
1.9133333333,ANAKIN
1.9466666667,ANAKIN
1.9533333333,ANAKIN
1.9866666667,ANAKIN
2.0041493776,ANAKIN
2.0124481328,ANAKIN
2.020746888,ANAKIN
2.0248962656,ANAKIN
2.0331950207,ANAKIN
2.0373443983,ANAKIN
2.0456431535,ANAKIN
2.0497925311,ANAKIN
2.0539419087,ANAKIN
2.0622406639,ANAKIN
2.0788381743,ANAKIN
2.0829875519,ANAKIN
2.0912863071,ANAKIN
2.0995850622,ANAKIN
2.1078838174,ANAKIN
2.1161825726,ANAKIN
2.1410788382,ANAKIN
2.1493775934,ANAKIN
2.1576763485,ANAKIN
2.1618257261,ANAKIN
2.1742738589,ANAKIN
2.1867219917,ANAKIN
2.2074688797,ANAKIN
2.2157676349,ANAKIN
2.2199170124,ANAKIN
2.22406639,ANAKIN
2.2323651452,ANAKIN
2.2365145228,ANAKIN
2.2406639004,ANAKIN
2.244813278,ANAKIN
2.2531120332,ANAKIN
2.2572614108,ANAKIN
2.2614107884,ANAKIN
2.2780082988,ANAKIN
2.2863070539,ANAKIN
2.2904564315,ANAKIN
2.3029045643,ANAKIN
2.3070539419,ANAKIN
2.3112033195,ANAKIN
2.3153526971,ANAKIN
2.3195020747,ANAKIN
2.3236514523,ANAKIN
2.3278008299,ANAKIN
2.3319502075,ANAKIN
2.3402489627,ANAKIN
2.3443983402,ANAKIN
2.3485477178,ANAKIN
2.356846473,ANAKIN
2.3609958506,ANAKIN
2.3651452282,ANAKIN
2.3734439834,ANAKIN
2.3900414938,ANAKIN
2.398340249,ANAKIN
2.4066390041,ANAKIN
2.4149377593,ANAKIN
2.4190871369,ANAKIN
2.4273858921,ANAKIN
2.4813278008,ANAKIN
2.4854771784,ANAKIN
2.489626556,ANAKIN
2.5145228216,ANAKIN
2.5186721992,ANAKIN
2.531120332,ANAKIN
2.5394190871,ANAKIN
2.5435684647,ANAKIN
2.5975103734,ANAKIN
2.601659751,ANAKIN
2.6058091286,ANAKIN
2.6721991701,ANAKIN
2.7012448133,ANAKIN
2.7053941909,ANAKIN
2.7095435685,ANAKIN
2.7136929461,ANAKIN
2.7385892116,ANAKIN
2.7468879668,ANAKIN
2.755186722,ANAKIN
2.7593360996,ANAKIN
2.7676348548,ANAKIN
2.77593361,ANAKIN
2.7842323651,ANAKIN
2.7883817427,ANAKIN
2.8008298755,ANAKIN
2.8049792531,ANAKIN
2.8091286307,ANAKIN
2.8174273859,ANAKIN
2.8298755187,ANAKIN
2.8381742739,ANAKIN
2.846473029,ANAKIN
2.8506224066,ANAKIN
2.8547717842,ANAKIN
2.867219917,ANAKIN
2.8796680498,ANAKIN
2.887966805,ANAKIN
2.8921161826,ANAKIN
2.9004149378,ANAKIN
2.9045643154,ANAKIN
2.9128630705,ANAKIN
2.9170124481,ANAKIN
2.9253112033,ANAKIN
2.9336099585,ANAKIN
2.9419087137,ANAKIN
2.9543568465,ANAKIN
2.9585062241,ANAKIN
